Provincia;Municipio;URL
Alava;Alegria-dulantzi;http://www.axesor.es/directorio-informacion-empresas/empresas-de-Alava/informacion-empresas-de-Alegria-Dulantzi/1
Alava;Amurrio;http://www.axesor.es/directorio-informacion-empresas/empresas-de-Alava/informacion-empresas-de-Amurrio/1
Alava;Aramaio;http://www.axesor.es/directorio-informacion-empresas/empresas-de-Alava/informacion-empresas-de-Aramaio/1
Alava;Armiñon;http://www.axesor.es/directorio-informacion-empresas/empresas-de-Alava/informacion-empresas-de-Arminon/1
Alava;Arraia-maeztu;http://www.axesor.es/directorio-informacion-empresas/empresas-de-Alava/informacion-empresas-de-Arraia-Maeztu/1
Alava;Arrazua-ubarrundia;http://www.axesor.es/directorio-informacion-empresas/empresas-de-Alava/informacion-empresas-de-Arrazua-Ubarrundia/1
Alava;Artziniega;http://www.axesor.es/directorio-informacion-empresas/empresas-de-Alava/informacion-empresas-de-Artziniega/1
Alava;Asparrena;http://www.axesor.es/directorio-informacion-empresas/empresas-de-Alava/informacion-empresas-de-Asparrena/1
Alava;Ayala/aiara;http://www.axesor.es/directorio-informacion-empresas/empresas-de-Alava/informacion-empresas-de-Ayala-Aiara/1
Alava;Añana;http://www.axesor.es/directorio-informacion-empresas/empresas-de-Alava/informacion-empresas-de-Anana/1
Alava;Barrundia;http://www.axesor.es/directorio-informacion-empresas/empresas-de-Alava/informacion-empresas-de-Barrundia/1
Alava;Baños De Ebro/mañueta;http://www.axesor.es/directorio-informacion-empresas/empresas-de-Alava/informacion-empresas-de-Banos-De-Ebro-Manueta/1
Alava;Berantevilla;http://www.axesor.es/directorio-informacion-empresas/empresas-de-Alava/informacion-empresas-de-Berantevilla/1
Alava;Bernedo;http://www.axesor.es/directorio-informacion-empresas/empresas-de-Alava/informacion-empresas-de-Bernedo/1
Alava;Campezo/kanpezu;http://www.axesor.es/directorio-informacion-empresas/empresas-de-Alava/informacion-empresas-de-Campezo-Kanpezu/1
Alava;Elburgo/burgelu;http://www.axesor.es/directorio-informacion-empresas/empresas-de-Alava/informacion-empresas-de-Elburgo-Burgelu/1
Alava;Elciego;http://www.axesor.es/directorio-informacion-empresas/empresas-de-Alava/informacion-empresas-de-Elciego/1
Alava;Elvillar/bilar;http://www.axesor.es/directorio-informacion-empresas/empresas-de-Alava/informacion-empresas-de-Elvillar-Bilar/1
Alava;Harana/valle De Arana;http://www.axesor.es/directorio-informacion-empresas/empresas-de-Alava/informacion-empresas-de-Harana-Valle-De-Arana/1
Alava;Iruraiz-gauna;http://www.axesor.es/directorio-informacion-empresas/empresas-de-Alava/informacion-empresas-de-Iruraiz-Gauna/1
Alava;Iruña Oka/iruña De Oca;http://www.axesor.es/directorio-informacion-empresas/empresas-de-Alava/informacion-empresas-de-Iruna-Oka-Iruna-De-Oca/1
