Provincia;Municipio;URL
Lleida;Abella De La Conca;http://www.axesor.es/directorio-informacion-empresas/empresas-de-Lleida/informacion-empresas-de-Abella-De-La-Conca/1
Lleida;Ager;http://www.axesor.es/directorio-informacion-empresas/empresas-de-Lleida/informacion-empresas-de-Ager/1
Lleida;Agramunt;http://www.axesor.es/directorio-informacion-empresas/empresas-de-Lleida/informacion-empresas-de-Agramunt/1
Lleida;Aitona;http://www.axesor.es/directorio-informacion-empresas/empresas-de-Lleida/informacion-empresas-de-Aitona/1
Lleida;Alamus (els);http://www.axesor.es/directorio-informacion-empresas/empresas-de-Lleida/informacion-empresas-de-Alamus-Els-/1
Lleida;Alas I Cerc;http://www.axesor.es/directorio-informacion-empresas/empresas-de-Lleida/informacion-empresas-de-Alas-I-Cerc/1
Lleida;Albages (l');http://www.axesor.es/directorio-informacion-empresas/empresas-de-Lleida/informacion-empresas-de-Albages-L-/1
Lleida;Albatarrec;http://www.axesor.es/directorio-informacion-empresas/empresas-de-Lleida/informacion-empresas-de-Albatarrec/1
Lleida;Albesa;http://www.axesor.es/directorio-informacion-empresas/empresas-de-Lleida/informacion-empresas-de-Albesa/1
Lleida;Albi (l');http://www.axesor.es/directorio-informacion-empresas/empresas-de-Lleida/informacion-empresas-de-Albi-L-/1
Lleida;Alcano;http://www.axesor.es/directorio-informacion-empresas/empresas-de-Lleida/informacion-empresas-de-Alcano/1
Lleida;Alcarras;http://www.axesor.es/directorio-informacion-empresas/empresas-de-Lleida/informacion-empresas-de-Alcarras/1
Lleida;Alcoletge;http://www.axesor.es/directorio-informacion-empresas/empresas-de-Lleida/informacion-empresas-de-Alcoletge/1
Lleida;Alfarras;http://www.axesor.es/directorio-informacion-empresas/empresas-de-Lleida/informacion-empresas-de-Alfarras/1
Lleida;Alfes;http://www.axesor.es/directorio-informacion-empresas/empresas-de-Lleida/informacion-empresas-de-Alfes/1
Lleida;Algerri;http://www.axesor.es/directorio-informacion-empresas/empresas-de-Lleida/informacion-empresas-de-Algerri/1
Lleida;Alguaire;http://www.axesor.es/directorio-informacion-empresas/empresas-de-Lleida/informacion-empresas-de-Alguaire/1
Lleida;Alins;http://www.axesor.es/directorio-informacion-empresas/empresas-de-Lleida/informacion-empresas-de-Alins/1
Lleida;Almacelles;http://www.axesor.es/directorio-informacion-empresas/empresas-de-Lleida/informacion-empresas-de-Almacelles/1
Lleida;Almatret;http://www.axesor.es/directorio-informacion-empresas/empresas-de-Lleida/informacion-empresas-de-Almatret/1
Lleida;Almenar;http://www.axesor.es/directorio-informacion-empresas/empresas-de-Lleida/informacion-empresas-de-Almenar/1
Lleida;Alos De Balaguer;http://www.axesor.es/directorio-informacion-empresas/empresas-de-Lleida/informacion-empresas-de-Alos-De-Balaguer/1
Lleida;Alpicat;http://www.axesor.es/directorio-informacion-empresas/empresas-de-Lleida/informacion-empresas-de-Alpicat/1
Lleida;Alt Aneu;http://www.axesor.es/directorio-informacion-empresas/empresas-de-Lleida/informacion-empresas-de-Alt-Aneu/1
Lleida;Anglesola;http://www.axesor.es/directorio-informacion-empresas/empresas-de-Lleida/informacion-empresas-de-Anglesola/1
Lleida;Arbeca;http://www.axesor.es/directorio-informacion-empresas/empresas-de-Lleida/informacion-empresas-de-Arbeca/1
Lleida;Arres;http://www.axesor.es/directorio-informacion-empresas/empresas-de-Lleida/informacion-empresas-de-Arres/1
